Divisions,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwellings
Finance&Insur,-9.747310709449638e-9,-8.298551786820829e-10,-9.718930329995278e-9,5.626845779429689e-10,-9.448167819144358e-9,-9.633557972486625e-9,-9.580686676743935e-9,-9.732849178322883e-9,700.7360977104184,-7.315633277652204e-9,-9.504455104409736e-9,-9.237625722390061e-9,-9.044323454001835e-9,-9.845679741419904e-9,555.2854302758649,-9.3942210317076e-9,-8.191672700613961e-9,-9.627219937622417e-9,-9.810469937425328e-9,1532.0873721536937
RealEstate,-9.647977071766763e-9,1405.2988365380197,-9.575488581645388e-9,1091.9642545781878,-8.742477725051065e-9,-9.41758346457215e-9,-9.266384261428866e-9,-9.635052560205625e-9,1989.7356688766156,764.3066734848162,-8.900724600911336e-9,-3.919973289791876e-9,3.7069121315643745,-9.818141690359206e-9,1723.5964642217539,-8.359257441284664e-9,517.4385361149788,-9.410577152515303e-9,-9.767681831580965e-9,4614.7545541603995
BusinessServ,-9.43578303641246e-9,3390.167573769232,-3.340233541087751e-9,2433.4237654093085,218.5646832362705,-8.372657406440349e-9,-7.324881236846912e-9,-9.426635360327804e-9,4009.479750607998,2759.164379715478,16.506139045537424,3352.815600539612,1370.8506964809062,-9.78031184014228e-9,3055.840631453136,497.66345447126463,1568.2454239452775,-8.716428365752793e-9,-9.704701556560005e-9,7769.310701391953
Admin,-9.804730199144698e-9,-9.225969855370638e-9,-9.788418625106128e-9,-9.206283287617193e-9,-9.663327794282818e-9,-9.742716915788136e-9,-9.717771146646015e-9,-9.795940501883902e-9,-7.988361317906724e-9,-9.348821064765849e-9,-9.685332173245092e-9,-9.596300609764804e-9,-9.546758796271075e-9,-9.869039444438091e-9,-8.413686424888478e-9,-9.644157755476918e-9,-9.416217537348481e-9,-9.739509818523807e-9,-9.844522086506202e-9,213.63460017991483
PublicAdminSafe,-9.754041648709752e-9,14.22931008648257,-9.711341422805937e-9,-5.372073611223979e-9,-9.503767994376016e-9,-9.65943494591041e-9,-9.613343297183809e-9,-9.7467166650581e-9,865.2625288533698,-8.180588406642777e-9,-9.55756619764607e-9,-9.319728159160943e-9,-9.177174730229793e-9,-9.851128784807916e-9,353.6836354701668,-9.442034749239627e-9,-8.692165650527741e-9,-9.655598028476806e-9,-9.81883295263086e-9,1563.6281257369137
Education,-9.774762685524546e-9,-8.230037218062218e-9,-9.75208173364401e-9,-8.260562980914794e-9,-9.565625269413206e-9,-9.689377506368134e-9,-9.652112896107133e-9,-9.763832599406341e-9,208.61453485012177,-8.831235228395776e-9,-9.600865810117267e-9,-9.441862964658121e-9,-9.348046626830164e-9,-9.85659246383775e-9,53.8714271795071,-9.532471351279732e-9,-9.038873133045305e-9,-9.685033926882051e-9,-9.826680758560283e-9,1178.0696381300982
Health&Social,-9.794352308694629e-9,-9.024757590243934e-9,-9.776078731829167e-9,-9.000812479550822e-9,-9.631564130136716e-9,-9.724579774679933e-9,-9.69577476834868e-9,-9.784704912063951e-9,-5.758809859168823e-9,-9.217203277796301e-9,-9.657662236344062e-9,-9.549129918187553e-9,-9.487042020329374e-9,-9.864512697138621e-9,-7.310487700793475e-9,-9.608393796793417e-9,-9.313236768913877e-9,-9.720949269470714e-9,-9.83810333812975e-9,528.0348001756352
Arts&Rec,-9.794328751229562e-9,-9.043587545310615e-9,-9.776309903728112e-9,-9.001908014920498e-9,-9.630666856029873e-9,-9.724055775807255e-9,-9.695190291847547e-9,-9.784359882140802e-9,-5.878161064102557e-9,-9.21650288944553e-9,-9.657125505060787e-9,-9.54939185600003e-9,-9.485829683292894e-9,-9.864346889534188e-9,-7.309109653731533e-9,-9.607607004113149e-9,-9.311071188118455e-9,-9.720288379102332e-9,-9.837858511771369e-9,412.40280017576464
OtherServices,-9.80324790234533e-9,-9.209259445790581e-9,-9.786805138128445e-9,-9.181812578550749e-9,-9.658514735273087e-9,-9.739904503472632e-9,-9.714409574176943e-9,-9.794162948165088e-9,-7.83802741114669e-9,-9.331897576514249e-9,-9.681243335244932e-9,-9.590082102795515e-9,-9.538224109770046e-9,-9.868294597208221e-9,-8.310839489883228e-9,-9.638881127615118e-9,-9.401985165220624e-9,-9.73656714126496e-9,-9.843467060105135e-9,190.59380017954462
Dwellings,-9.809507098275831e-9,-9.302907149401386e-9,-9.794165264911749e-9,-9.280289047163857e-9,-9.676850681046796e-9,-9.750676938262083e-9,-9.72735098430585e-9,-9.800965545087521e-9,-8.414136669847977e-9,-9.398929099988028e-9,-9.69730279918777e-9,-9.616383728206531e-9,-9.571181050278825e-9,-9.871109528036152e-9,-8.68258690385293e-9,-9.65934684195086e-9,-9.456120209394923e-9,-9.747597975618024e-9,-9.847426349734285e-9,1.85842489144189e-7
