0601,Coal mining,  5,  0,  7,  0,  0,  0,  6,  516,  106,  316,  593,  30,  24,  1,  1,  2,  4,  1,  4,  1,  1,  8,  1,  0,  0,  0,  0,  9,  0,  0,  0,  0,  0,  1,  1,  1,  102,  1,  0,  99,  0,  1,  0,  0,  0,  18,  0,  0,  298,  46,  7,  1,  0,  3,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0, 3 357,  4,  2,  0,  0,  7,  11,  11,  16,  54,  19,  2,  10,  10,  5,  1,  2,  1,  14,  1,  1,  2,  2,  7,  0,  8,  1,  5,  5,  2,  13,  73,  10,  43,  19,  9,  3,  3,  4,  3,  1,  2,  2,  5,  6,  3,  2, 5 983,  8,  9,  476,  16,  125,-  38, 20 484, 21 079, 27 062,,B,  616,,,,,,,
0701,Oil and gas extraction,  12,  2,  9,  0,  1,  0,  11,  252,  288,  184,  309,  29,  17,  27,  3,  58,  7,  6,  4,  15,  9,  6,  23,  9,  5,  1,  1,  1,  0,  1,  0,  2,  5,  18,  30,  4, 17 919,  5,  0,  126,  215,  8,  1,  66,  50,  30,  116,  10,  101,  107,  2,  6,  2,  5,  22,  2,  1,  0,  4,  2,  1,  5,  4,  2,  237,  7,  1,  3,  0,  35,  29,  29,  65, 4 320,  74,  21,  123,  450,  22,  1,  1,  9,  17,  2,  1,  2,  6,  71,  0,  5,  0,  1,  5,  5,  15,  47,  6,  25,  71,  54,  6,  19,  21,  24,  2,  3,  2,  8,  6,  4,  6, 26 018, 1 834,  4,  570,  35,  138,-  544, 13 504, 15 540, 41 558,,B,  742,,,,,,,
0801,Iron Ore Mining,  4,  1,  2,  0,  0,  0,  2,  11,  4,  86,  11,  3,  1,  2,  0,  2,  0,  0,  1,  0,  0,  1,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  1,  1,  2,  1,  1,  1,  0,  2,  0,  2,  0,  0,  0,  3,  0,  0, 1 610,  6,  15,  2,  1,  3,  4,  0,  0,  0,  2,  0,  0,  1,  0,  0,  16,  32,  2,  4,  0,  5,  8,  7,  11,  48,  17,  2,  11,  2,  4,  1,  1,  1,  13,  1,  1,  2,  2,  5,  0,  4,  0,  5,  5,  2,  13,  85,  11,  48,  14,  5,  3,  11,  3,  3,  1,  2,  2,  5,  3,  2,  1, 2 218,  89,  0,  194,  11,  47,  128, 14 546, 15 016, 17 234,,B,  252,,,,,,,
0802,Non Ferrous Metal Ore Mining,  11,  1,  7,  0,  0,  0,  4,  68,  16,  49, 1 599,  26,  35,  0,  1,  0,  0,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  18,  0,  0,  0,  0,  5,  1,  0,  271,  1,  1,  0,  0,  46,  22,  199,  81,  138, 26 464,  2,  1,  1,  22,  1,  0,  7,  0,  3,  50,  0,  42,  10,  0,  3,  6,  1,  2,  0,  16,  13,  13,  27,  388,  7,  0,  1,  5,  30,  1,  1,  0,  7,  1,  0,  0,  1,  4,  0,  1,  0,  1,  1,  2,  11,  23,  4,  14,  77,  59,  1,  2,  1,  1,  0,  0,  0,  1,  4,  1,  1, 29 939,  8,  2,  826,  78,  190,  342, 10 897, 12 342, 42 281,,B, 1 093,,,,,,,
0901,Non Metallic Mineral Mining,  7,  1,  6,  0,  0,  0,  7,  52,  19,  16,  33,  183,  18,  0,  12,  1,  0,  0,  0,  34,  24,  80,  1,  0,  1,  0,  0,  6,  0,  0,  0,  0,  0,  0,  1,  1,  2,  1,  0,  68,  0,  2,  0,  30,  10,  635,  121,  66,  646,  180,  14,  5,  1,  4,  3,  0,  0,  0,  7,  2,  0,  2,  0,  84,  3,  6,  2,  21,  0,  88,  117,  116,  113,  65,  28,  3,  16,  3,  5,  1,  2,  1,  17,  1,  11,  14,  3,  6,  1,  8,  1,  6,  6,  5,  18,  120,  16,  61,  34,  8,  10,  7,  5,  6,  7,  14,  11,  6,  7,  6,  4, 3 397,  6,  0,  95,  9,  18,  122,  846, 1 097, 4 495,,B,  122,,,,,,,
1001,Exploration and Mining Support Services,  0,  0,  0,  0,  0,  0,  0, 2 880,  617, 1 853, 3 360,  149,  134,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 9 003,  0,  79, 4 326,  5,  63,  0,  8, 4 480, 13 483,,B, 4 393,,,,,,,
1101,Meat and Meat product Manufacturing,  39,  15,  55,  1,  0,  1,  17,  1,  1,  1,  1,  0,  0, 1 107,  4,  5,  21,  62,  7,  402,  17,  526,  4,  0,  3,  0,  399,  18,  0,  1,  0,  0,  3,  0,  0,  0,  0,  5,  13,  122,  152,  1,  0,  0,  0,  0,  0,  0,  1,  1,  0,  1,  0,  0,  4,  0,  0,  0,  1,  0,  0,  3,  1,  9,  0,  1,  0,  1,  2,  7,  9,  9,  19,  442, 2 304,  333, 1 740,  2,  1,  0,  1,  2,  2,  0,  2,  3,  2,  9,  0,  7,  0,  0,  4,  10,  9,  54,  8,  25,  2,  7,  17,  22,  17,  12,  4,  26,  14,  14,  2,  5,  17, 8 198, 5 322,  6,  101,  3,  24,-  13, 6 058, 11 502, 19 699,,C,  128,,,,,,,
1102,Processed Seafood Manufacturing,  12,  8,  10,  5,  0,  3,  11,  1,  1,  0,  1,  1,  1,  4,  1,  2,  5,  8,  3,  20,  11,  118,  1,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  6,  18,  9,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  2,  58,  32,  57,  425,  1,  0,  0,  0,  0,  1,  0,  1,  1,  0,  3,  0,  2,  0,  0,  0,  1,  3,  6,  1,  7,  6,  6,  7,  7,  8,  6,  1,  17,  27,  1,  0,  2,  0,  961, 1 184,  5,  13,  0,  2,-  53,  568, 1 721, 2 682,,C,  16,,,,,,,
1103,Dairy Product Manufacturing,  38,  15,  7,  1,  1,  1,  3,  2,  1,  3,  2,  1,  1,  7,  5, 1 080,  27,  127,  22,  134,  483,  103,  13,  0,  26,  0,  0,  0,  0,  0,  0,  1,  1,  0,  1,  1,  0,  15,  9,  7,  10,  3,  0,  0,  0,  1,  0,  0,  1,  1,  0,  1,  0,  1,  9,  2,  0,  2,  2,  1,  0,  2,  1,  2,  1,  2,  1,  8,  4,  9,  9,  8,  11,  57,  146,  101,  912,  5,  2,  0,  4,  9,  5,  1,  2,  3,  7,  40,  0,  10,  0,  0,  3,  4,  8,  70,  23,  48,  3,  6,  30,  39,  9,  33,  3,  9,  14,  18,  5,  2,  35, 3 898, 5 551,  0,  81,  2,  16,  503, 2 454, 8 608, 12 506,,C,  99,,,,,,,
1104,Fruit and Vegetable Product Manufacturing,  2,  1,  1,  0,  1,  0,  1,  2,  1,  1,  2,  1,  1,  14,  3,  23,  181,  6,  27,  187,  59,  71,  20,  1,  27,  0,  2,  1,  0,  0,  0,  0,  1,  0,  1,  1,  1,  2,  0,  4,  1,  2,  0,  0,  0,  1,  0,  0,  1,  1,  0,  1,  0,  1,  7,  1,  0,  1,  2,  1,  0,  3,  1,  0,  0,  1,  0,  1,  0,  4,  3,  3,  5,  11,  59,  55,  484,  3,  0,  0,  2,  1,  1,  1,  0,  1,  1,  5,  0,  0,  0,  0,  1,  1,  2,  5,  1,  4,  2,  28,  23,  23,  43,  54,  1,  4,  13,  5,  2,  1,  1, 1 525, 3 825,  0,  65,  3,  9,-  228,  473, 4 148, 5 672,,C,  77,,,,,,,
